State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet
Jammu and Kashmir,Kargil,33.56599489,76.63675315,4,JAMMU AND KASHMIR,140802,77785,63017,86236,56301,29935,3763,10341,108239,604,1171,20126,28,4,15824,235
Jammu and Kashmir,Punch,33.79124129,74.29593161,5,JAMMU AND KASHMIR,476835,251899,224936,261724,163333,98391,31583,32604,431279,958,11188,83,10,2,62900,346
Jammu and Kashmir,Kathua,32.51781678,75.58901399,7,JAMMU AND KASHMIR,616435,326109,290326,389204,228499,160705,21566,540063,64234,1828,9551,24,16,2,109422,1443
Jammu and Kashmir,Srinagar,34.27312899,75.11021159,10,JAMMU AND KASHMIR,1236829,651124,585705,748584,431746,316838,10408,42540,1177342,2746,12187,285,74,2,165403,16413
Jammu and Kashmir,Pulwama,33.88414419,75.0092186,12,JAMMU AND KASHMIR,560440,293064,267376,293958,178326,115632,34080,13840,535159,1109,9440,35,6,18,73629,1537
Jammu and Kashmir,Doda,33.35961468,76.0716372,16,JAMMU AND KASHMIR,409936,213641,196295,219083,138620,80463,12199,187621,220614,472,422,21,22,42,61831,596
Jammu and Kashmir,Udhampur,33.04770671,75.15286951,19,JAMMU AND KASHMIR,554985,296784,258201,322354,197543,124811,11396,489044,59771,1962,3418,106,57,235,73999,1214
Jammu and Kashmir,Jammu,32.7131991,74.84775204,21,JAMMU AND KASHMIR,1529958,813821,716137,1137135,641916,495219,36873,1289240,107489,12104,114272,470,1987,321,294739,19905
Himachal Pradesh,Chamba,32.66741815,76.39354063,23,HIMACHAL PRADESH,519080,261320,257760,323842,186064,137778,9193,479782,32455,1559,2745,1740,57,14,96082,1615
Himachal Pradesh,Kangra,32.14093603,76.41205911,24,HIMACHAL PRADESH,1510075,750591,759484,1152640,606443,546197,54849,1461140,19797,3023,8929,14511,194,208,330081,8053
Himachal Pradesh,Kullu,31.90911922,77.40922649,26,HIMACHAL PRADESH,437903,225452,212451,307672,174550,133122,12372,415669,2974,1568,1396,15377,94,83,91322,2623
Himachal Pradesh,Mandi,31.63580594,76.96556931,27,HIMACHAL PRADESH,999777,498065,501712,723747,393669,330078,15822,981412,9460,876,4081,2628,43,86,214491,5333
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,8824,449412,3711,243,591,95,293,9,104120,2521
Uttar Pradesh,Hamirpur,25.73815838,79.8261948,28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,8824,449412,3711,243,591,95,293,9,104120,2521
Himachal Pradesh,Una,31.58330388,76.18353932,29,HIMACHAL PRADESH,521173,263692,257481,399715,213281,186434,19604,480138,14275,390,26009,56,70,10,105929,2412
Chhattisgarh,Bilaspur,22.35694298,81.99770351,30,HIMACHAL PRADESH,381956,192764,189192,287620,155599,132021,4138,371973,6984,236,2387,113,10,7,79146,1574
Himachal Pradesh,Bilaspur,31.37804229,76.65316079,30,HIMACHAL PRADESH,381956,192764,189192,287620,155599,132021,4138,371973,6984,236,2387,113,10,7,79146,1574
Himachal Pradesh,Solan,31.03864312,76.94442141,31,HIMACHAL PRADESH,580320,308754,271566,428578,244372,184206,10283,548579,14678,1452,13926,574,591,110,119866,5250
Himachal Pradesh,Sirmaur,30.68276445,77.4318469,32,HIMACHAL PRADESH,529855,276289,253566,362645,205617,157028,10730,476830,33215,577,15501,2645,236,86,91509,2220
Himachal Pradesh,Shimla,31.15572545,77.62573042,33,HIMACHAL PRADESH,814010,425039,388971,612642,342846,269796,26114,791449,11810,2025,4047,3262,185,197,172754,9177
Himachal Pradesh,Kinnaur,31.60667184,78.51613736,34,HIMACHAL PRADESH,84121,46249,37872,60699,36697,24002,2537,64732,448,485,249,18086,29,45,17865,354
Punjab,Gurdaspur,32.04283371,75.32040644,35,PUNJAB,2298323,1212617,1085706,1634719,907660,727059,100684,1074332,27667,176587,1002874,405,580,812,411216,14428
Punjab,Kapurthala,31.33659264,75.47641166,36,PUNJAB,815168,426311,388857,576567,316254,260313,42387,336124,10190,5445,453692,6662,553,334,161206,9732
Punjab,Jalandhar,31.25033691,75.54400351,37,PUNJAB,2193590,1145211,1048379,1622537,882581,739956,66664,1394329,30233,26016,718363,11385,4011,805,446200,39082
Punjab,Hoshiarpur,31.5515717,75.84698574,38,PUNJAB,1586625,809057,777568,1199699,637927,561772,74362,1000743,23089,14968,538208,3476,2034,531,319930,13747
Punjab,Fatehgarh Sahib,30.64290947,76.36208395,40,PUNJAB,600163,320795,279368,426033,238696,187337,21389,152851,16808,1698,427521,48,178,251,113683,5138
Punjab,Ludhiana,30.76596397,75.83110852,41,PUNJAB,3498739,1867816,1630923,2560225,1428348,1131877,98646,1502403,77713,16517,1863408,2007,19620,1254,703624,58589
Punjab,Moga,30.75654007,75.16008451,42,PUNJAB,995746,525920,469826,627889,348549,279340,82397,158414,9388,3277,818921,178,436,365,183396,7897
Punjab,Firozpur,30.63407535,74.40245732,43,PUNJAB,2029074,1071637,957437,1227511,707070,520441,227971,906408,6844,19358,1090815,454,1143,278,349662,10042
Punjab,Muktsar,30.31243303,74.55187477,44,PUNJAB,901896,475622,426274,524848,300401,224447,111014,254920,4333,1681,638625,240,744,433,166585,4571
Punjab,Faridkot,30.59118725,74.79751554,45,PUNJAB,617508,326671,290837,381285,215767,165518,54058,141363,3125,1227,469789,155,1109,103,113549,4348
Punjab,Bathinda,30.19052461,75.05685898,46,PUNJAB,1388525,743197,645328,844868,488261,356607,128382,380569,16299,2474,984286,246,1266,559,255650,11284
Punjab,Mansa,29.91954771,75.43049229,47,PUNJAB,769751,408732,361019,423560,244037,179523,90367,156539,10375,917,598443,123,1577,493,140099,2673
Punjab,Patiala,30.21454038,76.27505894,48,PUNJAB,1895686,1002522,893164,1266791,711052,555739,89123,783306,40043,5683,1059944,245,1914,1410,352929,24274
Punjab,Amritsar,31.54867982,74.79883857,49,PUNJAB,2490656,1318408,1172248,1684770,932981,751789,121599,690939,12502,54344,1716935,876,3152,1044,461231,29961
Punjab,Rupnagar,30.91093733,76.53743501,51,PUNJAB,684627,357485,327142,502731,278534,224197,21520,304481,14492,2094,361045,118,653,143,129123,6600
Punjab,Sangrur,30.1850452,75.89437014,53,PUNJAB,1655169,878029,777140,1002077,570413,431664,91799,389410,179116,2406,1077438,268,3222,1038,305557,10736
Chandigarh,Chandigarh,30.7426,76.75872466,55,CHANDIGARH,1055450,580663,474787,805438,465346,340092,1687,852574,51447,8720,138329,1160,1960,246,231204,44283
Uttaranchal,Uttarkashi,30.96895855,78.56880615,56,UTTARAKHAND,330086,168597,161489,215126,128237,86889,4387,324859,3554,353,167,563,74,105,52621,602
Uttaranchal,Chamoli,30.58338611,79.56281096,57,UTTARAKHAND,391605,193991,197614,280556,155395,125161,3845,385818,4395,428,323,190,11,23,71524,899
Uttaranchal,Tehri Garhwal,30.46370092,78.48783793,59,UTTARAKHAND,618931,297986,320945,407994,227406,180588,8129,609835,7374,656,290,32,91,109,117239,1366
Uttaranchal,Pithoragarh,30.14720632,80.34229231,62,UTTARAKHAND,483439,239306,244133,345550,189623,155927,5432,475105,6015,1401,260,185,13,30,95421,1344
Uttaranchal,Bageshwar,29.98703393,79.83954354,63,UTTARAKHAND,259898,124326,135572,179483,97546,81937,8985,257509,1440,397,46,102,7,16,47083,435
Uttaranchal,Almora,29.68353213,79.50165064,64,UTTARAKHAND,622506,291081,331425,436497,231604,204893,10274,611250,7752,1895,256,201,31,6,109876,1830
Uttaranchal,Champawat,29.29142394,80.07720212,65,UTTARAKHAND,259648,131125,128523,177726,102015,75711,4032,249563,8693,870,336,24,28,6,37725,548
Uttaranchal,Udham Singh Nagar,29.02779578,79.45629005,67,UTTARAKHAND,1648902,858783,790119,1037839,598525,439314,165250,1104452,372267,6064,162768,505,738,159,254802,7883
Haryana,Panchkula,30.70089714,76.97173238,69,HARYANA,561293,299679,261614,405318,229862,175456,12827,490702,23451,2583,40951,1008,1626,90,103455,18615
Haryana,Ambala,30.35036723,76.94970311,70,HARYANA,1128350,598703,529647,818025,461288,356737,57293,955096,22143,3705,138202,381,4845,110,199681,12899
Haryana,Kurukshetra,30.0565266,76.7877468,72,HARYANA,964655,510976,453679,646893,370828,276065,85890,805175,15970,1943,140395,214,375,106,171908,7356
Haryana,Kaithal,29.96068539,76.3769893,73,HARYANA,1074304,571003,503301,646529,385782,260747,85651,974520,8232,1769,87558,265,351,70,187349,3724
Haryana,Karnal,29.70320065,76.87488026,74,HARYANA,1505324,797712,707612,978013,564516,413497,133723,1341002,31650,2049,126207,532,1516,49,267223,11163
Haryana,Panipat,29.34352134,76.92895915,75,HARYANA,1205437,646857,558580,786599,464136,322463,62358,1083936,86622,2261,25064,289,4647,99,209965,10024
Haryana,Jind,29.45149822,76.29598576,77,HARYANA,1334152,713006,621146,832758,502049,330709,102071,1276669,23016,889,29103,172,2594,56,222462,5263
